metric,test,statistic,p_raw,p_bonferroni,effect_size,effect_label,significant,pair
mean_cost_norm,Kruskal-Wallis,165.162,0.0,0.0,0.92,epsilon_sq,True,all populations
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Habitual vs Progressive
  mean_cost_norm,Mann-Whitney U,420.0,0.6627,1.0,-0.067,rank_biserial_r,False,Habitual vs Tipping
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Habitual vs Balanced
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Habitual vs Price-Maximalist
  mean_cost_norm,Mann-Whitney U,872.0,0.0,0.0,0.938,rank_biserial_r,True,Habitual vs Social-Maximalist
  mean_cost_norm,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Progressive vs Tipping
  mean_cost_norm,Mann-Whitney U,117.0,0.0,0.0001,-0.74,rank_biserial_r,True,Progressive vs Balanced
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Progressive vs Price-Maximalist
  mean_cost_norm,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Progressive vs Social-Maximalist
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Tipping vs Balanced
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Tipping vs Price-Maximalist
  mean_cost_norm,Mann-Whitney U,876.0,0.0,0.0,0.947,rank_biserial_r,True,Tipping vs Social-Maximalist
  mean_cost_norm,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Balanced vs Price-Maximalist
  mean_cost_norm,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Balanced vs Social-Maximalist
  mean_cost_norm,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Price-Maximalist vs Social-Maximalist
mean_price_advantage,Kruskal-Wallis,169.059,0.0,0.0,0.943,epsilon_sq,True,all populations
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Habitual vs Progressive
  mean_price_advantage,Mann-Whitney U,534.0,0.217,1.0,0.187,rank_biserial_r,False,Habitual vs Tipping
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Habitual vs Balanced
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Habitual vs Price-Maximalist
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Habitual vs Social-Maximalist
  mean_price_advantage,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Progressive vs Tipping
  mean_price_advantage,Mann-Whitney U,892.0,0.0,0.0,0.982,rank_biserial_r,True,Progressive vs Balanced
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Progressive vs Price-Maximalist
  mean_price_advantage,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Progressive vs Social-Maximalist
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Tipping vs Balanced
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Tipping vs Price-Maximalist
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Tipping vs Social-Maximalist
  mean_price_advantage,Mann-Whitney U,0.0,0.0,0.0,-1.0,rank_biserial_r,True,Balanced vs Price-Maximalist
  mean_price_advantage,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Balanced vs Social-Maximalist
  mean_price_advantage,Mann-Whitney U,900.0,0.0,0.0,1.0,rank_biserial_r,True,Price-Maximalist vs Social-Maximalist
emd_vs_baseline,ANOVA,733.735,0.0,0.0,0.955,eta_sq,True,all populations
  emd_vs_baseline,Tukey HSD,-0.8029,0.0,0.0,,,True,Balanced vs Habitual
  emd_vs_baseline,Tukey HSD,1.1295,0.0,0.0,,,True,Balanced vs Price-Maximalist
  emd_vs_baseline,Tukey HSD,0.0574,0.6298,1.0,,,False,Balanced vs Progressive
  emd_vs_baseline,Tukey HSD,-0.2972,0.0,0.0,,,True,Balanced vs Social-Maximalist
  emd_vs_baseline,Tukey HSD,-0.7477,0.0,0.0,,,True,Balanced vs Tipping
  emd_vs_baseline,Tukey HSD,1.9324,0.0,0.0,,,True,Habitual vs Price-Maximalist
  emd_vs_baseline,Tukey HSD,0.8602,0.0,0.0,,,True,Habitual vs Progressive
  emd_vs_baseline,Tukey HSD,0.5057,0.0,0.0,,,True,Habitual vs Social-Maximalist
  emd_vs_baseline,Tukey HSD,0.0552,0.667,1.0,,,False,Habitual vs Tipping
  emd_vs_baseline,Tukey HSD,-1.0721,0.0,0.0,,,True,Price-Maximalist vs Progressive
  emd_vs_baseline,Tukey HSD,-1.4267,0.0,0.0,,,True,Price-Maximalist vs Social-Maximalist
