pop_label,network_code,N,seed,par_mean,peak_hour_mean,peak_hour_shift,mean_cost_norm,mean_price_advantage,total_flexibility,mean_adjustment,emd_vs_baseline
Habitual,100a,100,1,1.6545976903488955,17.125,-1.25,8.85108627381453,-1.1147168293700873,151.4168854249726,0.9101812480161701,0.9534725168866405
Habitual,100b,100,1,1.662224592241901,16.991666666666667,-1.5,8.840109457319427,-1.1043580684305403,149.80721536670583,0.935506659626589,0.9517136744508833
Habitual,100c,100,1,1.6686620666110303,17.125,-1.25,8.83719332392454,-1.1074433239245394,150.7168895728296,0.9114830549040528,1.0750173847881261
Progressive,100a,100,1,1.620917020139182,16.683333333333334,-1.5,8.508227266179334,-0.8234980995126686,271.4130446642194,1.7146903519645917,1.9886601376677573
Progressive,100b,100,1,1.6211905082889393,16.691666666666666,-3.0,8.500030168436984,-0.8290357239925404,271.8739242929499,1.659737328994332,1.8783944730271966
Progressive,100c,100,1,1.6311155242235718,16.633333333333333,-3.5,8.515853382299285,-0.8296325489659526,265.68591348228375,1.7753406923635584,1.9431601483721912
Tipping,100a,100,1,1.6707807012386986,17.016666666666666,-1.5,8.858874251697182,-1.1301048072527378,176.42371162014678,0.9545579019453886,0.9454700593163503
Tipping,100b,100,1,1.6639049176984035,17.45,-0.25,8.8541427416149,-1.1216607971704557,166.3266096305977,0.9563912568897928,1.0763562079351774
Tipping,100c,100,1,1.661422930608232,17.241666666666667,-1.5,8.860567886827111,-1.121373442382666,174.1522112693632,0.960675529049277,0.8743598643789421
Balanced,100a,100,1,1.636000546831051,16.791666666666668,-1.5,8.571781055488618,-0.8792852221552836,284.735038896693,1.673816775895642,1.6511360397937378
Balanced,100b,100,1,1.6224327915374757,16.808333333333334,-1.5,8.537628537833546,-0.8435424267224346,270.561782449364,1.7643574655511327,2.1537728632447
Balanced,100c,100,1,1.640698739618096,16.691666666666666,-1.25,8.573837650084503,-0.8845307056400595,285.64385108140806,1.6838729295806802,2.3236437891278023
Price-Maximalist,100a,100,1,1.6763802081354526,15.783333333333333,-4.25,8.13606337661437,-0.5513147655032592,492.0948785220539,2.7899504803658757,3.3599825559434913
Price-Maximalist,100b,100,1,1.6938161976464163,15.583333333333334,-4.0,8.130370825370992,-0.5426958253709908,474.11739399542824,2.858549454528681,3.274419930368134
Price-Maximalist,100c,100,1,1.6866393769346055,15.55,-4.5,8.108823680818375,-0.5175347919294868,468.9601431187908,2.738202047707247,3.268999522628866
Social-Maximalist,100a,100,1,1.6216869498085384,16.966666666666665,-0.75,8.69715622578572,-0.9852492813412767,215.1943652024772,1.3997127273479049,1.15208125414532
Social-Maximalist,100b,100,1,1.6477274774920974,16.958333333333332,-1.25,8.71811121276052,-1.003215379427187,207.17140452149388,1.4637099341766189,1.5743528579933965
Social-Maximalist,100c,100,1,1.6383344818661265,16.9,-0.5,8.690644679280785,-0.9750710681696751,209.22228114535636,1.4758743873849896,1.7662809671984523
Habitual,100a,100,2,1.6420903478972753,17.008333333333333,0.5,8.617731329311995,-1.0116104959786627,143.14094660114213,1.0077890823841746,0.9419941420389926
Habitual,100b,100,2,1.638154192834159,16.858333333333334,0.0,8.62052059580686,-1.0157942069179726,144.4694645666245,0.9840575037927389,0.9465986189663562
Habitual,100c,100,2,1.6523156478657661,17.016666666666666,-0.25,8.60900695549662,-1.0015652888299527,143.43599040898428,1.0380355511744919,0.9888777613221286
Progressive,100a,100,2,1.6258159200899067,16.591666666666665,-2.75,8.309315177235563,-0.762498510568897,289.1864624620714,1.7961159223483838,1.959592038791998
Progressive,100b,100,2,1.5971844025527937,16.6,-2.75,8.328519994937235,-0.7718227727150124,286.0097527570994,1.7440150613226968,2.17402342245679
Progressive,100c,100,2,1.6057741629440256,16.166666666666668,-2.0,8.303043712491387,-0.7538687124913879,286.771964656714,1.8024487157944074,1.9643131388848158
Tipping,100a,100,2,1.6423232739811042,17.083333333333332,0.25,8.605713496755186,-1.0087009967551868,154.81079667152997,1.041533300470341,1.063297461790668
Tipping,100b,100,2,1.6526321831362736,16.958333333333332,-0.25,8.637972548788257,-1.0353406043438118,157.6067163904162,1.032328859096743,0.9250195178205187
Tipping,100c,100,2,1.6281804001963072,17.1,-0.25,8.58565680238299,-0.9904165246052123,158.94217472034583,1.0615719670393913,1.214684188041231
Balanced,100a,100,2,1.6126707341469522,16.491666666666667,1.0,8.338464818916119,-0.7775509300272294,276.1192007870342,1.7647604810945001,2.16791875292797
Balanced,100b,100,2,1.6052640588352283,16.616666666666667,-0.25,8.345621864199343,-0.7834982530882317,270.0984244721583,1.7047666593647168,1.9145109035617027
Balanced,100c,100,2,1.6117277268679167,16.841666666666665,0.75,8.363169136630367,-0.7984080255192553,272.8863240472328,1.778912955541933,2.2481862985605465
Price-Maximalist,100a,100,2,1.6146330539324116,15.375,-4.5,7.957129850942962,-0.48168679538740705,498.2499250270883,2.6541559856729458,2.915680621289736
Price-Maximalist,100b,100,2,1.6507854423754575,15.633333333333333,-3.0,7.955249133032662,-0.4921949663659951,475.90886489320513,2.6360460305998963,2.673865890833138
Price-Maximalist,100c,100,2,1.6341298648189944,15.583333333333334,-3.5,7.93995282923748,-0.47881810701525845,482.56666471230784,2.8112071027679817,3.130080513451327
Social-Maximalist,100a,100,2,1.6336567272621485,16.866666666666667,-1.75,8.47959072267018,-0.8908851671146221,205.8733479798859,1.549337120448459,1.4891672157694875
Social-Maximalist,100b,100,2,1.6597027765109122,16.858333333333334,-1.5,8.552025880418324,-0.9477619915294355,196.21547924024347,1.4164031619813913,1.3512375942227366
Social-Maximalist,100c,100,2,1.6262247079222163,17.016666666666666,-1.25,8.49112360942042,-0.8976624983093097,196.20333254835953,1.5314766054031315,1.6129010351923923
Habitual,100a,100,3,1.5981920141917152,17.225,1.25,8.826706431452134,-1.0796772647854673,144.31073724127756,0.919939142285903,0.9887792028380238
Habitual,100b,100,3,1.6006049775187552,17.108333333333334,0.25,8.85241648715701,-1.1032789871570114,143.30662680674834,0.8577465496214427,0.8633807338846183
Habitual,100c,100,3,1.5947493226229321,17.308333333333334,1.25,8.868787490468929,-1.1145541571355957,142.37012402364175,0.8578320177541113,1.021057557322577
Progressive,100a,100,3,1.5470827861241052,16.425,1.25,8.469231686116448,-0.7754427972275579,263.21214585089893,1.7945368136861486,1.503299772409593
Progressive,100b,100,3,1.5443790884776118,16.608333333333334,0.75,8.475813648387282,-0.7826205928317279,266.25711432365983,1.6638900309232023,1.5997120045001254
Progressive,100c,100,3,1.546025816198437,16.491666666666667,-1.5,8.488836928994882,-0.7955535956615495,274.9881499059809,1.7050743596258462,1.5556486775269487
